Instrument Key,LTP,Theta,Delta,strike,symbol
NSE_FO|55780,53.2,-76.22899706296192,-0.1747098095528632,44600.0,PE
NSE_FO|55779,595.0,-68.7274543097251,0.8382059238142872,44600.0,CE
NSE_FO|55777,686.0,-54.64278140887557,0.8819574325695051,44500.0,CE
NSE_FO|55776,37.7,-62.286700319033635,-0.11661839039411759,44400.0,PE
NSE_FO|55775,771.2,-46.76913926477276,0.9083926712203378,44400.0,CE
NSE_FO|55778,46.55,-69.57323141807215,-0.14331613142835764,44500.0,PE
NSE_INDEX|Nifty Bank,45082.4,,,NA,NA
